12:37:48.807 [main] INFO  mh.clients.Clients - start
12:37:48.822 [main] INFO  mh.clients.SqlExecute - 执行 show tables ...
12:37:48.823 [main] INFO  mh.clients.ConnectionUtil - 连接 hive 数据库 ...
12:37:52.618 [main] INFO  mh.clients.SqlExecute - 获取 tables 成功 
12:37:52.619 [main] INFO  mh.clients.SqlExecute - 执行 select * from table_1 ...
12:37:52.619 [main] INFO  mh.clients.ConnectionUtil - 连接 hive 数据库 ...
12:37:54.547 [main] INFO  mh.clients.SqlExecute - 获取 table_1数据成功
12:37:54.547 [main] INFO  mh.clients.SqlExecute - 正在创建表table_1
12:37:54.547 [main] INFO  mh.clients.ConnectionUtil - 连接 hive 数据库 ...
12:37:55.099 [main] INFO  mh.clients.SqlExecute - 执行 create table if not exists table_1(
	videoid Text,
	views Text)ENGINE=InnoDB DEFAULT CHARSET=utf8;

12:37:55.100 [main] INFO  mh.clients.ConnectionUtil - 连接 mysql 数据库 ...
12:37:55.713 [main] INFO  mh.clients.ConnectionUtil - 连接 mysql 数据库 ...
12:37:55.751 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("dMH0bHeiRNg","42513417")
12:37:55.797 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("0XxI-hvPRRA","20282464")
12:37:55.812 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("1dmVU08zVpA","16087899")
12:37:55.820 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("RB-wUgnyGv0","15712924")
12:37:55.824 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("QjA5faZF1A8","15256922")
12:37:55.828 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("-_CSo1gOd48","13199833")
12:37:55.831 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("49IDp76kjPw","11970018")
12:37:55.836 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("tYnn51C3X_w","11823701")
12:37:55.839 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("pv5zWaTEVkI","11672017")
12:37:55.845 [main] INFO  mh.clients.SqlExecute - insert into table_1 values("D2kJZOfq7zk","11184051")
12:37:55.849 [main] INFO  mh.clients.SqlExecute - 执行 select * from table_11 ...
12:37:55.849 [main] INFO  mh.clients.ConnectionUtil - 连接 hive 数据库 ...
12:37:56.510 [main] INFO  mh.clients.SqlExecute - 获取 table_11数据成功
